SourcePort,TargetPort,Risk,SourcePortName,TargetPortName,SourceCountry,TargetCountry,SourceLat,SourceLon,TargetLat,TargetLon,Freq,SourceTemp,TargetTemp,SourceSal,TargetSal
6319,3469,0.00838072105834,Hasvik,Hammerfest,NOR,NOR,70.48333,22.15,70.66667,23.66667,4,6.3,6.16,34.39,34.44
4310,2684,0.000293251076096,Qasigiannguit,Upernavik,GRL,GRL,68.81667,-51.18333,72.78333,-56.15,1,1.06,1.12,33,32.87
2654,53,8.83729629179e-05,Reydharfjordur,Grundartangi,ISL,ISL,65.0333,-14.2167,64.35,-21.78333,4,6.015,5.13,34.471,24.33
1907,1142,0.000170957208911,Bodo,Torshavn,NOR,FRO,67.28333,14.38333,62,-6.75,2,7.04,8.39,32.78,35.17
3578,3469,5.99456500227e-05,Patrekshofn,Hammerfest,ISL,NOR,65.58333,-23.98333,70.66667,23.66667,1,5.11,6.16,34.81,34.44
3218,5066,0.000350085567872,Reykjavik,Harstad,ISL,NOR,64.14972,-21.9475,68.8,16.55,2,6.52,7,34.7,33.69
2186,4310,0.000814724552248,Nuuk,Qasigiannguit,GRL,GRL,64.16667,-51.73333,68.81667,-51.18333,4,1.37,1.06,32.31,33
4317,4414,0.000318293564393,Svolvaer,Honningsvaag,NOR,NOR,68.23333,14.56667,70.98333,25.98333,1,6.05,6.02,32.82,34.34
53,1220,0.000824875327964,Grundartangi,Hafnarfjordur,ISL,ISL,64.35,-21.78333,64.06667,-21.91667,14,5.13,6.52,24.33,34.7
7820,1222,0.000260090372478,Tasiusaq,Kangilinnguit,GRL,GRL,73.36667,-56.06667,61.2,-48.1,1,0.95,4.12,32.67,32.39
9697,3469,0.000233830836486,Leknes,Hammerfest,NOR,NOR,68.1333,13.6167,70.66667,23.66667,1,7.35,6.16,32.4,34.44
875,1671,8.88345774385e-05,Thorshofn,Akranes,ISL,ISL,66.2,-15.33333,64.31667,-22.08333,1,4.79,7.29,34.34,34.65
4706,4310,0.000293251076096,Uummannaq,Qasigiannguit,GRL,GRL,70.68333,-52.13333,68.81667,-51.18333,1,1.47,1.06,32.78,33
5066,3218,0.000147266642973,Harstad,Reykjavik,NOR,ISL,68.8,16.55,64.14972,-21.9475,1,7,6.52,33.69,34.7
3621,2623,9.27233458942e-05,Grindavik,Vestmannaeyjar,ISL,ISL,63.83333,-22.43333,63.43333,-20.26667,1,7.22,8.51,34.68,34.93
5066,1235,0.00015232392452,Harstad,Eskifjordur,NOR,ISL,68.8,16.55,65.08333,-13.98333,1,7,4.24,33.69,34.53
4233,2654,8.88345774385e-05,Dalvik,Reydharfjordur,ISL,ISL,65.96667,-18.51667,65.0333,-14.2167,1,4.04,6.015,34.41,34.471
4602,1235,0.00792431012568,Neskaupstadur,Eskifjordur,ISL,ISL,65.15,-13.68333,65.08333,-13.98333,27,4.59,4.24,34.3,34.53
7820,3183,0.00022844235854,Tasiusaq,Nanortalik,GRL,GRL,73.36667,-56.06667,60.13333,-45.25,1,0.95,1.62,32.67,33.18
3507,3048,7.71428038573e-05,Seydhisfjordur,Husavik,ISL,ISL,65.25,-13.91667,66.05,-17.36667,1,4.1,4.9,23.89,34.36
3469,4317,0.00221322416041,Hammerfest,Svolvaer,NOR,NOR,70.66667,23.66667,68.23333,14.56667,21,6.16,6.05,34.44,32.82
3469,1907,0.0251390390603,Hammerfest,Bodo,NOR,NOR,70.66667,23.66667,67.28333,14.38333,38,6.16,7.04,34.44,32.78
2654,1142,0.0663794546088,Reydharfjordur,Torshavn,ISL,FRO,65.0333,-14.2167,62,-6.75,127,6.015,8.39,34.471,35.17
9948,1907,0.000233830836486,Vaeroy,Bodo,NOR,NOR,67.6667,12.65,67.28333,14.38333,1,4.55,7.04,33.773,32.78
102,7820,0.000246538322094,Aasiaat,Tasiusaq,GRL,GRL,68.71667,-52.88333,73.36667,-56.06667,1,1.55,0.95,33.33,32.67
1563,3218,0.00323459854871,Thorlakshofn,Reykjavik,ISL,ISL,63.85,-21.33333,64.14972,-21.9475,6,5.96,6.52,34.84,34.7
1384,53,0.000181088114575,Holmavik,Grundartangi,ISL,ISL,65.7,-21.68333,64.35,-21.78333,2,4.48,5.13,34.27,24.33
3469,8652,8.23446080365e-05,Hammerfest,Myre,NOR,NOR,70.66667,23.66667,69.08333,15.95,1,6.16,7.22,34.44,33.99
3034,3218,0.000200772215265,Siglufjordur,Reykjavik,ISL,ISL,66.2,-18.86667,64.14972,-21.9475,5,4.06,6.52,34.47,34.7
9420,8813,1.83880653908e-05,St. Paul(AK USA),St. Matthew Is.,USA,USA,57.11667,-170.26667,60.4086,-172.72,1,4.49,9.459,32.19,31.074
4810,5082,0.000219525927719,Saudarkrokur,Tromso,ISL,NOR,65.75,-19.6,69.65,18.96667,1,4.9,4.14,34.38,12.35
4317,8652,0.000258490089213,Svolvaer,Myre,NOR,NOR,68.23333,14.56667,69.08333,15.95,2,6.05,7.22,32.82,33.99
1301,1222,0.001170729198,Narsaq,Kangilinnguit,GRL,GRL,60.9,-45.98333,61.2,-48.1,6,2.83,4.12,14.58,32.39
3218,1142,0.0723780648763,Reykjavik,Torshavn,ISL,FRO,64.14972,-21.9475,62,-6.75,191,6.52,8.39,34.7,35.17
2684,2186,0.000473686724361,Upernavik,Nuuk,GRL,GRL,72.78333,-56.15,64.16667,-51.73333,2,1.12,1.37,32.87,32.31
1142,7900,0.00128412384535,Torshavn,Skali,FRO,FRO,62,-6.75,62.15,-6.76667,9,8.39,8.39,35.17,35.18
5066,3469,0.0210793068305,Harstad,Hammerfest,NOR,NOR,68.8,16.55,70.66667,23.66667,157,7,6.16,33.69,34.44
3507,1563,0.000257655694384,Seydhisfjordur,Thorlakshofn,ISL,ISL,65.25,-13.91667,63.85,-21.33333,1,4.1,5.96,23.89,34.84
1220,1563,0.000168099019567,Hafnarfjordur,Thorlakshofn,ISL,ISL,64.06667,-21.91667,63.85,-21.33333,5,6.52,5.96,34.7,34.84
2623,2395,0.000533201200861,Vestmannaeyjar,Grundarfjordur,ISL,ISL,63.43333,-20.26667,64.91667,-23.21667,4,8.51,5.29,34.93,33.95
464,1301,0.000233057200302,Sisimiut,Narsaq,GRL,GRL,66.95,-53.68333,60.9,-45.98333,1,1.69,2.83,33.1,14.58
4158,5082,0.000262762701887,Faskrudhsfjordur,Tromso,ISL,NOR,64.9295,-14.0119,69.65,18.96667,2,6.015,4.14,34.471,12.35
