SourcePort,TargetPort,Risk,SourcePortName,TargetPortName,SourceCountry,TargetCountry,SourceLat,SourceLon,TargetLat,TargetLon,Freq,SourceTemp,TargetTemp,SourceSal,TargetSal
3880,4729,0.999933302,Bremen,Narvik,DEU,NOR,53.08333,8.78333,68.43333,17.43333,195,10.94,3.55,27.33,4.16
830,5241,0.999110483,Rotterdam,Murmansk,NLD,RUS,51.9,4.48333,68.96667,33.08333,514,11.4,3.37,1.78,6.55
2993,4729,0.99859783,Hamburg,Narvik,DEU,NOR,53.55,9.96667,68.43333,17.43333,87,10.61,3.55,25.09,4.16
830,4729,0.998101208,Rotterdam,Narvik,NLD,NOR,51.9,4.48333,68.43333,17.43333,73,11.4,3.55,1.78,4.16
2993,5241,0.997937423,Hamburg,Murmansk,DEU,RUS,53.55,9.96667,68.96667,33.08333,116,10.61,3.37,25.09,6.55
843,5241,0.992918503,Amsterdam,Murmansk,NLD,RUS,52.36667,4.9,68.96667,33.08333,118,11.22,3.37,9.95,6.55
5513,4729,0.987567648,Dunkirk,Narvik,FRA,NOR,51.05,2.35,68.43333,17.43333,53,11.61,3.55,34.35,4.16
2649,4729,0.986864673,Ymuiden,Narvik,NLD,NOR,52.45,4.58333,68.43333,17.43333,49,11.23,3.55,31.06,4.16
843,4729,0.98677306,Amsterdam,Narvik,NLD,NOR,52.36667,4.9,68.43333,17.43333,56,11.22,3.55,9.95,4.16
4538,5241,0.98271537,Ghent,Murmansk,BEL,RUS,51.08806,3.74528,68.96667,33.08333,86,12.14,3.37,1.55,6.55
576,5241,0.982122353,Antwerp,Murmansk,BEL,RUS,51.24472,4.41139,68.96667,33.08333,158,11.97,3.37,0.31,6.55
42,4729,0.965601621,Immingham,Narvik,GBR,NOR,53.63333,-0.18333,68.43333,17.43333,42,9.97,3.55,33.48,4.16
2935,5241,0.959668704,Liverpool,Murmansk,GBR,RUS,53.41667,-3,68.96667,33.08333,63,11.59,3.37,18.01,6.55
576,4729,0.954692205,Antwerp,Narvik,BEL,NOR,51.24472,4.41139,68.43333,17.43333,42,11.97,3.55,0.31,4.16
42,5241,0.953719796,Immingham,Murmansk,GBR,RUS,53.63333,-0.18333,68.96667,33.08333,65,9.97,3.37,33.48,6.55
938,4729,0.94783665,Europoort,Narvik,NLD,NOR,51.95,4.08333,68.43333,17.43333,36,11.41,3.55,31.75,4.16
5513,5241,0.870478944,Dunkirk,Murmansk,FRA,RUS,51.05,2.35,68.96667,33.08333,35,11.61,3.37,34.35,6.55
2821,5241,0.861222357,Bristol,Murmansk,GBR,RUS,51.45,-2.63333,68.96667,33.08333,31,11.8,3.37,11.17,6.55
289,5241,0.844307588,Hunterston,Murmansk,GBR,RUS,55.75,-4.88333,68.96667,33.08333,24,10.82,3.37,17.52,6.55
4246,5241,0.832576967,Flushing,Murmansk,NLD,RUS,51.45,3.58333,68.96667,33.08333,53,12.05,3.37,32.96,6.55
8244,4729,0.826899937,South Killingholme,Narvik,GBR,NOR,53.63333,-0.2,68.43333,17.43333,18,9.97,3.55,33.48,4.16
4942,5241,0.825666209,Terneuzen,Murmansk,NLD,RUS,51.33333,3.81667,68.96667,33.08333,75,12.1,3.37,14.36,6.55
8029,5241,0.798265747,Tilbury,Murmansk,GBR,RUS,51.45,0.33333,68.96667,33.08333,26,11.86,3.37,11.17,6.55
1831,4729,0.785602341,Tees,Narvik,GBR,NOR,54.58333,-1.16667,68.43333,17.43333,17,9.6,3.55,13.5,4.16
4538,4729,0.781591165,Ghent,Narvik,BEL,NOR,51.08806,3.74528,68.43333,17.43333,20,12.14,3.55,1.55,4.16
2145,5241,0.764908342,Tyne,Murmansk,GBR,RUS,55,-1.43333,68.96667,33.08333,28,9.62,3.37,34.46,6.55
5771,4729,0.751994226,Port Talbot,Narvik,GBR,NOR,51.58333,-3.71667,68.43333,17.43333,16,11.66,3.55,14.68,4.16
